	value
5033	Humility
5034	Benevolence: caring
5035	Benevolence: dependability
5036	Universalism: concern
5037	Universalism: nature
5038	Universalism: tolerance
5039	Universalism: objectivity
5040	Self-direction: thought
5041	Self-direction: action
5042	Stimulation
5043	Hedonism
5044	Achievement
5045	Power: dominance
5046	Power: resources
5047	Face
5048	Security: personal
5049	Security: societal
5050	Tradition
5051	Conformity: rules
5052	Conformity: interpersonal
5053	Humility
5054	Benevolence: caring
5055	Benevolence: dependability
5056	Universalism: concern
5057	Universalism: nature
5058	Universalism: tolerance
5059	Universalism: objectivity
5060	Self-direction: thought
5061	Self-direction: action
5062	Stimulation
5063	Hedonism
5064	Achievement
5065	Power: dominance
5066	Power: resources
5067	Face
5068	Security: personal
5069	Security: societal
5070	Tradition
5071	Conformity: rules
5072	Conformity: interpersonal
5073	Humility
5074	Benevolence: caring
5075	Benevolence: dependability
5076	Universalism: concern
5077	Universalism: nature
5078	Universalism: tolerance
5079	Universalism: objectivity
5080	Self-direction: thought
5081	Self-direction: action
5082	Stimulation
5083	Hedonism
5084	Achievement
5085	Power: dominance
5086	Power: resources
5087	Face
5088	Security: personal
5089	Security: societal
5090	Tradition
5091	Conformity: rules
5092	Conformity: interpersonal
5093	Humility
5094	Benevolence: caring
5095	Benevolence: dependability
5096	Universalism: concern
5097	Universalism: nature
5098	Universalism: tolerance
5099	Universalism: objectivity
5100	Self-direction: thought
5101	Self-direction: action
5102	Stimulation
5103	Hedonism
5104	Achievement
5105	Power: dominance
5106	Power: resources
5107	Face
5108	Security: personal
5109	Security: societal
5110	Tradition
5111	Conformity: rules
5112	Conformity: interpersonal
5113	Humility
5114	Benevolence: caring
5115	Benevolence: dependability
5116	Universalism: concern
5117	Universalism: nature
5118	Universalism: tolerance
5119	Universalism: objectivity
5120	Self-direction: thought
5121	Self-direction: action
5122	Stimulation
5123	Hedonism
5124	Achievement
5125	Power: dominance
5126	Power: resources
5127	Face
5128	Security: personal
5129	Security: societal
5130	Tradition
5131	Conformity: rules
5132	Conformity: interpersonal
5133	Humility
5134	Benevolence: caring
5135	Benevolence: dependability
5136	Universalism: concern
5137	Universalism: nature
5138	Universalism: tolerance
5139	Universalism: objectivity
5140	Self-direction: thought
5141	Self-direction: action
5142	Stimulation
5143	Hedonism
5144	Achievement
5145	Power: dominance
5146	Power: resources
5147	Face
5148	Security: personal
5149	Security: societal
5150	Tradition
5151	Conformity: rules
5152	Conformity: interpersonal
5153	Humility
5154	Benevolence: caring
5155	Benevolence: dependability
5156	Universalism: concern
5157	Universalism: nature
5158	Universalism: tolerance
5159	Universalism: objectivity
5160	Self-direction: thought
5161	Self-direction: action
5162	Stimulation
5163	Hedonism
5164	Achievement
5165	Power: dominance
5166	Power: resources
5167	Face
5168	Security: personal
5169	Security: societal
5170	Tradition
5171	Conformity: rules
5172	Conformity: interpersonal
5173	Humility
5174	Benevolence: caring
5175	Benevolence: dependability
5176	Universalism: concern
5177	Universalism: nature
5178	Universalism: tolerance
5179	Universalism: objectivity
5180	Self-direction: thought
5181	Self-direction: action
5182	Stimulation
5183	Hedonism
5184	Achievement
5185	Power: dominance
5186	Power: resources
5187	Face
5188	Security: personal
5189	Security: societal
5190	Tradition
5191	Conformity: rules
5192	Conformity: interpersonal
5193	Humility
5194	Benevolence: caring
5195	Benevolence: dependability
5196	Universalism: concern
5197	Universalism: nature
5198	Universalism: tolerance
5199	Universalism: objectivity
5200	Self-direction: thought
5201	Self-direction: action
5202	Stimulation
5203	Hedonism
5204	Achievement
5205	Power: dominance
5206	Power: resources
5207	Face
5208	Security: personal
5209	Security: societal
5210	Tradition
5211	Conformity: rules
5212	Conformity: interpersonal
5213	Humility
5214	Benevolence: caring
5215	Benevolence: dependability
5216	Universalism: concern
5217	Universalism: nature
5218	Universalism: tolerance
5219	Universalism: objectivity
5220	Self-direction: thought
5221	Self-direction: action
5222	Stimulation
5223	Hedonism
5224	Achievement
5225	Power: dominance
5226	Power: resources
5227	Face
5228	Security: personal
5229	Security: societal
5230	Tradition
5231	Conformity: rules
5232	Conformity: interpersonal
5233	Humility
5234	Benevolence: caring
5235	Benevolence: dependability
5236	Universalism: concern
5237	Universalism: nature
5238	Universalism: tolerance
5239	Universalism: objectivity
5240	Self-direction: thought
5241	Self-direction: action
5242	Stimulation
5243	Hedonism
5244	Achievement
5245	Power: dominance
5246	Power: resources
5247	Face
5248	Security: personal
5249	Security: societal
5250	Tradition
5251	Conformity: rules
5252	Conformity: interpersonal
5253	Humility
5254	Benevolence: caring
5255	Benevolence: dependability
5256	Universalism: concern
5257	Universalism: nature
5258	Universalism: tolerance
5259	Universalism: objectivity
5260	Self-direction: thought
5261	Self-direction: action
5262	Stimulation
5263	Hedonism
5264	Achievement
5265	Power: dominance
5266	Power: resources
5267	Face
5268	Security: personal
5269	Security: societal
5270	Tradition
5271	Conformity: rules
5272	Conformity: interpersonal
5273	Humility
5274	Benevolence: caring
5275	Benevolence: dependability
5276	Universalism: concern
5277	Universalism: nature
5278	Universalism: tolerance
5279	Universalism: objectivity
5280	Self-direction: thought
5281	Self-direction: action
5282	Stimulation
5283	Hedonism
5284	Achievement
5285	Power: dominance
5286	Power: resources
5287	Face
5288	Security: personal
5289	Security: societal
5290	Tradition
5291	Conformity: rules
5292	Conformity: interpersonal
5293	Humility
5294	Benevolence: caring
5295	Benevolence: dependability
5296	Universalism: concern
5297	Universalism: nature
5298	Universalism: tolerance
5299	Universalism: objectivity
5300	Self-direction: thought
5301	Self-direction: action
5302	Stimulation
5303	Hedonism
5304	Achievement
5305	Power: dominance
5306	Power: resources
5307	Face
5308	Security: personal
5309	Security: societal
5310	Tradition
5311	Conformity: rules
5312	Conformity: interpersonal
5313	Humility
5314	Benevolence: caring
5315	Benevolence: dependability
5316	Universalism: concern
5317	Universalism: nature
5318	Universalism: tolerance
5319	Universalism: objectivity
5320	Self-direction: thought
5321	Self-direction: action
5322	Stimulation
5323	Hedonism
5324	Achievement
5325	Power: dominance
5326	Power: resources
5327	Face
5328	Security: personal
5329	Security: societal
5330	Tradition
5331	Conformity: rules
5332	Conformity: interpersonal
5333	Humility
5334	Benevolence: caring
5335	Benevolence: dependability
5336	Universalism: concern
5337	Universalism: nature
5338	Universalism: tolerance
5339	Universalism: objectivity
5340	Self-direction: thought
5341	Self-direction: action
5342	Stimulation
5343	Hedonism
5344	Achievement
5345	Power: dominance
5346	Power: resources
5347	Face
5348	Security: personal
5349	Security: societal
5350	Tradition
5351	Conformity: rules
5352	Conformity: interpersonal
5353	Humility
5354	Benevolence: caring
5355	Benevolence: dependability
5356	Universalism: concern
5357	Universalism: nature
5358	Universalism: tolerance
5359	Universalism: objectivity
5360	Self-direction: thought
5361	Self-direction: action
5362	Stimulation
5363	Hedonism
5364	Achievement
5365	Power: dominance
5366	Power: resources
5367	Face
5368	Security: personal
5369	Security: societal
5370	Tradition
5371	Conformity: rules
5372	Conformity: interpersonal
5373	Humility
5374	Benevolence: caring
5375	Benevolence: dependability
5376	Universalism: concern
5377	Universalism: nature
5378	Universalism: tolerance
5379	Universalism: objectivity
5380	Self-direction: thought
5381	Self-direction: action
5382	Stimulation
5383	Hedonism
5384	Achievement
5385	Power: dominance
5386	Power: resources
5387	Face
5388	Security: personal
5389	Security: societal
5390	Tradition
5391	Conformity: rules
5392	Conformity: interpersonal
5393	Humility
5394	Benevolence: caring
5395	Benevolence: dependability
5396	Universalism: concern
5397	Universalism: nature
5398	Universalism: tolerance
5399	Universalism: objectivity
5400	Self-direction: thought
5401	Self-direction: action
5402	Stimulation
5403	Hedonism
5404	Achievement
5405	Power: dominance
5406	Power: resources
5407	Face
5408	Security: personal
5409	Security: societal
5410	Tradition
5411	Conformity: rules
5412	Conformity: interpersonal
5413	Humility
5414	Benevolence: caring
5415	Benevolence: dependability
5416	Universalism: concern
5417	Universalism: nature
5418	Universalism: tolerance
5419	Universalism: objectivity
5420	Self-direction: thought
5421	Self-direction: action
5422	Stimulation
5423	Hedonism
5424	Achievement
5425	Power: dominance
5426	Power: resources
5427	Face
5428	Security: personal
5429	Security: societal
5430	Tradition
5431	Conformity: rules
5432	Conformity: interpersonal
5433	Humility
5434	Benevolence: caring
5435	Benevolence: dependability
5436	Universalism: concern
5437	Universalism: nature
5438	Universalism: tolerance
5439	Universalism: objectivity
5440	Self-direction: thought
5441	Self-direction: action
5442	Stimulation
5443	Hedonism
5444	Achievement
5445	Power: dominance
5446	Power: resources
5447	Face
5448	Security: personal
5449	Security: societal
5450	Tradition
5451	Conformity: rules
5452	Conformity: interpersonal
5453	Humility
5454	Benevolence: caring
5455	Benevolence: dependability
5456	Universalism: concern
5457	Universalism: nature
5458	Universalism: tolerance
5459	Universalism: objectivity
5460	Self-direction: thought
5461	Self-direction: action
5462	Stimulation
5463	Hedonism
5464	Achievement
5465	Power: dominance
5466	Power: resources
5467	Face
5468	Security: personal
5469	Security: societal
5470	Tradition
5471	Conformity: rules
5472	Conformity: interpersonal
5473	Humility
5474	Benevolence: caring
5475	Benevolence: dependability
5476	Universalism: concern
5477	Universalism: nature
5478	Universalism: tolerance
5479	Universalism: objectivity
5480	Self-direction: thought
5481	Self-direction: action
5482	Stimulation
5483	Hedonism
5484	Achievement
5485	Power: dominance
5486	Power: resources
5487	Face
5488	Security: personal
5489	Security: societal
5490	Tradition
5491	Conformity: rules
5492	Conformity: interpersonal
5493	Humility
5494	Benevolence: caring
5495	Benevolence: dependability
5496	Universalism: concern
5497	Universalism: nature
5498	Universalism: tolerance
5499	Universalism: objectivity
5500	Self-direction: thought
5501	Self-direction: action
5502	Stimulation
5503	Hedonism
5504	Achievement
5505	Power: dominance
5506	Power: resources
5507	Face
5508	Security: personal
5509	Security: societal
5510	Tradition
5511	Conformity: rules
5512	Conformity: interpersonal
5513	Humility
5514	Benevolence: caring
5515	Benevolence: dependability
5516	Universalism: concern
5517	Universalism: nature
5518	Universalism: tolerance
5519	Universalism: objectivity
5520	Self-direction: thought
5521	Self-direction: action
5522	Stimulation
5523	Hedonism
5524	Achievement
5525	Power: dominance
5526	Power: resources
5527	Face
5528	Security: personal
5529	Security: societal
5530	Tradition
5531	Conformity: rules
5532	Conformity: interpersonal
5533	Humility
5534	Benevolence: caring
5535	Benevolence: dependability
5536	Universalism: concern
5537	Universalism: nature
5538	Universalism: tolerance
5539	Universalism: objectivity
5540	Self-direction: thought
5541	Self-direction: action
5542	Stimulation
5543	Hedonism
5544	Achievement
5545	Power: dominance
5546	Power: resources
5547	Face
5548	Security: personal
5549	Security: societal
5550	Tradition
5551	Conformity: rules
5552	Conformity: interpersonal
5553	Humility
5554	Benevolence: caring
5555	Benevolence: dependability
5556	Universalism: concern
5557	Universalism: nature
5558	Universalism: tolerance
5559	Universalism: objectivity
5560	Self-direction: thought
5561	Self-direction: action
5562	Stimulation
5563	Hedonism
5564	Achievement
5565	Power: dominance
5566	Power: resources
5567	Face
5568	Security: personal
5569	Security: societal
5570	Tradition
5571	Conformity: rules
5572	Conformity: interpersonal
5573	Humility
5574	Benevolence: caring
5575	Benevolence: dependability
5576	Universalism: concern
5577	Universalism: nature
5578	Universalism: tolerance
5579	Universalism: objectivity
5580	Self-direction: thought
5581	Self-direction: action
5582	Stimulation
5583	Hedonism
5584	Achievement
5585	Power: dominance
5586	Power: resources
5587	Face
5588	Security: personal
5589	Security: societal
5590	Tradition
5591	Conformity: rules
5592	Conformity: interpersonal
5593	Humility
5594	Benevolence: caring
5595	Benevolence: dependability
5596	Universalism: concern
5597	Universalism: nature
5598	Universalism: tolerance
5599	Universalism: objectivity
5600	Self-direction: thought
5601	Self-direction: action
5602	Stimulation
5603	Hedonism
5604	Achievement
5605	Power: dominance
5606	Power: resources
5607	Face
5608	Security: personal
5609	Security: societal
5610	Tradition
5611	Conformity: rules
5612	Conformity: interpersonal
5613	Humility
5614	Benevolence: caring
5615	Benevolence: dependability
5616	Universalism: concern
5617	Universalism: nature
5618	Universalism: tolerance
5619	Universalism: objectivity
5620	Self-direction: thought
5621	Self-direction: action
5622	Stimulation
5623	Hedonism
5624	Achievement
5625	Power: dominance
5626	Power: resources
5627	Face
5628	Security: personal
5629	Security: societal
5630	Tradition
5631	Conformity: rules
5632	Conformity: interpersonal
5633	Humility
5634	Benevolence: caring
5635	Benevolence: dependability
5636	Universalism: concern
5637	Universalism: nature
5638	Universalism: tolerance
5639	Universalism: objectivity
5640	Self-direction: thought
5641	Self-direction: action
5642	Stimulation
5643	Hedonism
5644	Achievement
5645	Power: dominance
5646	Power: resources
5647	Face
5648	Security: personal
5649	Security: societal
5650	Tradition
5651	Conformity: rules
5652	Conformity: interpersonal
5653	Humility
5654	Benevolence: caring
5655	Benevolence: dependability
5656	Universalism: concern
5657	Universalism: nature
5658	Universalism: tolerance
5659	Universalism: objectivity
5660	Self-direction: thought
5661	Self-direction: action
5662	Stimulation
5663	Hedonism
5664	Achievement
5665	Power: dominance
5666	Power: resources
5667	Face
5668	Security: personal
5669	Security: societal
5670	Tradition
5671	Conformity: rules
5672	Conformity: interpersonal
5673	Humility
5674	Benevolence: caring
5675	Benevolence: dependability
5676	Universalism: concern
5677	Universalism: nature
5678	Universalism: tolerance
5679	Universalism: objectivity
5680	Self-direction: thought
5681	Self-direction: action
5682	Stimulation
5683	Hedonism
5684	Achievement
5685	Power: dominance
5686	Power: resources
5687	Face
5688	Security: personal
5689	Security: societal
5690	Tradition
5691	Conformity: rules
5692	Conformity: interpersonal
5693	Humility
5694	Benevolence: caring
5695	Benevolence: dependability
5696	Universalism: concern
5697	Universalism: nature
5698	Universalism: tolerance
5699	Universalism: objectivity
5700	Self-direction: thought
5701	Self-direction: action
5702	Stimulation
5703	Hedonism
5704	Achievement
5705	Power: dominance
5706	Power: resources
5707	Face
5708	Security: personal
5709	Security: societal
5710	Tradition
5711	Conformity: rules
5712	Conformity: interpersonal
5713	Humility
5714	Benevolence: caring
5715	Benevolence: dependability
5716	Universalism: concern
5717	Universalism: nature
5718	Universalism: tolerance
5719	Universalism: objectivity
5720	Self-direction: thought
5721	Self-direction: action
5722	Stimulation
5723	Hedonism
5724	Achievement
5725	Power: dominance
5726	Power: resources
5727	Face
5728	Security: personal
5729	Security: societal
5730	Tradition
5731	Conformity: rules
5732	Conformity: interpersonal
5733	Humility
5734	Benevolence: caring
5735	Benevolence: dependability
5736	Universalism: concern
5737	Universalism: nature
5738	Universalism: tolerance
5739	Universalism: objectivity
5740	Self-direction: thought
5741	Self-direction: action
5742	Stimulation
5743	Hedonism
5744	Achievement
5745	Power: dominance
5746	Power: resources
5747	Face
5748	Security: personal
5749	Security: societal
5750	Tradition
5751	Conformity: rules
5752	Conformity: interpersonal
5753	Humility
5754	Benevolence: caring
5755	Benevolence: dependability
5756	Universalism: concern
5757	Universalism: nature
5758	Universalism: tolerance
5759	Universalism: objectivity
5760	Self-direction: thought
5761	Self-direction: action
5762	Stimulation
5763	Hedonism
5764	Achievement
5765	Power: dominance
5766	Power: resources
5767	Face
5768	Security: personal
5769	Security: societal
5770	Tradition
5771	Conformity: rules
5772	Conformity: interpersonal
5773	Humility
5774	Benevolence: caring
5775	Benevolence: dependability
5776	Universalism: concern
5777	Universalism: nature
5778	Universalism: tolerance
5779	Universalism: objectivity
5780	Self-direction: thought
5781	Self-direction: action
5782	Stimulation
5783	Hedonism
5784	Achievement
5785	Power: dominance
5786	Power: resources
5787	Face
5788	Security: personal
5789	Security: societal
5790	Tradition
5791	Conformity: rules
5792	Conformity: interpersonal
5793	Humility
5794	Benevolence: caring
5795	Benevolence: dependability
5796	Universalism: concern
5797	Universalism: nature
5798	Universalism: tolerance
5799	Universalism: objectivity
5800	Self-direction: thought
5801	Self-direction: action
5802	Stimulation
5803	Hedonism
5804	Achievement
5805	Power: dominance
5806	Power: resources
5807	Face
5808	Security: personal
5809	Security: societal
5810	Tradition
5811	Conformity: rules
5812	Conformity: interpersonal
5813	Humility
5814	Benevolence: caring
5815	Benevolence: dependability
5816	Universalism: concern
5817	Universalism: nature
5818	Universalism: tolerance
5819	Universalism: objectivity
5820	Self-direction: thought
5821	Self-direction: action
5822	Stimulation
5823	Hedonism
5824	Achievement
5825	Power: dominance
5826	Power: resources
5827	Face
5828	Security: personal
5829	Security: societal
5830	Tradition
5831	Conformity: rules
5832	Conformity: interpersonal
5833	Humility
5834	Benevolence: caring
5835	Benevolence: dependability
5836	Universalism: concern
5837	Universalism: nature
5838	Universalism: tolerance
5839	Universalism: objectivity
5840	Self-direction: thought
5841	Self-direction: action
5842	Stimulation
5843	Hedonism
5844	Achievement
5845	Power: dominance
5846	Power: resources
5847	Face
5848	Security: personal
5849	Security: societal
5850	Tradition
5851	Conformity: rules
5852	Conformity: interpersonal
5853	Humility
5854	Benevolence: caring
5855	Benevolence: dependability
5856	Universalism: concern
5857	Universalism: nature
5858	Universalism: tolerance
5859	Universalism: objectivity
5860	Self-direction: thought
5861	Self-direction: action
5862	Stimulation
5863	Hedonism
5864	Achievement
5865	Power: dominance
5866	Power: resources
5867	Face
5868	Security: personal
5869	Security: societal
5870	Tradition
5871	Conformity: rules
5872	Conformity: interpersonal
5873	Humility
5874	Benevolence: caring
5875	Benevolence: dependability
5876	Universalism: concern
5877	Universalism: nature
5878	Universalism: tolerance
5879	Universalism: objectivity
5880	Self-direction: thought
5881	Self-direction: action
5882	Stimulation
5883	Hedonism
5884	Achievement
5885	Power: dominance
5886	Power: resources
5887	Face
5888	Security: personal
5889	Security: societal
5890	Tradition
5891	Conformity: rules
5892	Conformity: interpersonal
5893	Humility
5894	Benevolence: caring
5895	Benevolence: dependability
5896	Universalism: concern
5897	Universalism: nature
5898	Universalism: tolerance
5899	Universalism: objectivity
5900	Self-direction: thought
5901	Self-direction: action
5902	Stimulation
5903	Hedonism
5904	Achievement
5905	Power: dominance
5906	Power: resources
5907	Face
5908	Security: personal
5909	Security: societal
5910	Tradition
5911	Conformity: rules
5912	Conformity: interpersonal
5913	Humility
5914	Benevolence: caring
5915	Benevolence: dependability
5916	Universalism: concern
5917	Universalism: nature
5918	Universalism: tolerance
5919	Universalism: objectivity
5920	Self-direction: thought
5921	Self-direction: action
5922	Stimulation
5923	Hedonism
5924	Achievement
5925	Power: dominance
5926	Power: resources
5927	Face
5928	Security: personal
5929	Security: societal
5930	Tradition
5931	Conformity: rules
5932	Conformity: interpersonal
5933	Humility
5934	Benevolence: caring
5935	Benevolence: dependability
5936	Universalism: concern
5937	Universalism: nature
5938	Universalism: tolerance
5939	Universalism: objectivity
5940	Self-direction: thought
5941	Self-direction: action
5942	Stimulation
5943	Hedonism
5944	Achievement
5945	Power: dominance
5946	Power: resources
5947	Face
5948	Security: personal
5949	Security: societal
5950	Tradition
5951	Conformity: rules
5952	Conformity: interpersonal
5953	Humility
5954	Benevolence: caring
5955	Benevolence: dependability
5956	Universalism: concern
5957	Universalism: nature
5958	Universalism: tolerance
5959	Universalism: objectivity
5960	Self-direction: thought
5961	Self-direction: action
5962	Stimulation
5963	Hedonism
5964	Achievement
5965	Power: dominance
5966	Power: resources
5967	Face
5968	Security: personal
5969	Security: societal
5970	Tradition
5971	Conformity: rules
5972	Conformity: interpersonal
5973	Humility
5974	Benevolence: caring
5975	Benevolence: dependability
5976	Universalism: concern
5977	Universalism: nature
5978	Universalism: tolerance
5979	Universalism: objectivity
5980	Self-direction: thought
5981	Self-direction: action
5982	Stimulation
5983	Hedonism
5984	Achievement
5985	Power: dominance
5986	Power: resources
5987	Face
5988	Security: personal
5989	Security: societal
5990	Tradition
5991	Conformity: rules
5992	Conformity: interpersonal
5993	Humility
5994	Benevolence: caring
5995	Benevolence: dependability
5996	Universalism: concern
5997	Universalism: nature
5998	Universalism: tolerance
5999	Universalism: objectivity
6000	Self-direction: thought
6001	Self-direction: action
6002	Stimulation
6003	Hedonism
6004	Achievement
6005	Power: dominance
6006	Power: resources
6007	Face
6008	Security: personal
6009	Security: societal
6010	Tradition
6011	Conformity: rules
6012	Conformity: interpersonal
6013	Humility
6014	Benevolence: caring
6015	Benevolence: dependability
6016	Universalism: concern
6017	Universalism: nature
6018	Universalism: tolerance
6019	Universalism: objectivity
6020	Self-direction: thought
6021	Self-direction: action
6022	Stimulation
6023	Hedonism
6024	Achievement
6025	Power: dominance
6026	Power: resources
6027	Face
6028	Security: personal
6029	Security: societal
6030	Tradition
6031	Conformity: rules
6032	Conformity: interpersonal
6033	Humility
6034	Benevolence: caring
6035	Benevolence: dependability
6036	Universalism: concern
6037	Universalism: nature
6038	Universalism: tolerance
6039	Universalism: objectivity
6040	Self-direction: thought
6041	Self-direction: action
6042	Stimulation
6043	Hedonism
6044	Achievement
6045	Power: dominance
6046	Power: resources
6047	Face
6048	Security: personal
6049	Security: societal
6050	Tradition
6051	Conformity: rules
6052	Conformity: interpersonal
6053	Humility
6054	Benevolence: caring
6055	Benevolence: dependability
6056	Universalism: concern
6057	Universalism: nature
6058	Universalism: tolerance
6059	Universalism: objectivity
6060	Self-direction: thought
6061	Self-direction: action
6062	Stimulation
6063	Hedonism
6064	Achievement
6065	Power: dominance
6066	Power: resources
6067	Face
6068	Security: personal
6069	Security: societal
6070	Tradition
6071	Conformity: rules
6072	Conformity: interpersonal
6073	Humility
6074	Benevolence: caring
6075	Benevolence: dependability
6076	Universalism: concern
6077	Universalism: nature
6078	Universalism: tolerance
6079	Universalism: objectivity
6080	Self-direction: thought
6081	Self-direction: action
6082	Stimulation
6083	Hedonism
6084	Achievement
6085	Power: dominance
6086	Power: resources
6087	Face
6088	Security: personal
6089	Security: societal
6090	Tradition
6091	Conformity: rules
6092	Conformity: interpersonal
6093	Humility
6094	Benevolence: caring
6095	Benevolence: dependability
6096	Universalism: concern
6097	Universalism: nature
6098	Universalism: tolerance
6099	Universalism: objectivity
6100	Self-direction: thought
6101	Self-direction: action
6102	Stimulation
6103	Hedonism
6104	Achievement
6105	Power: dominance
6106	Power: resources
6107	Face
6108	Security: personal
6109	Security: societal
6110	Tradition
6111	Conformity: rules
6112	Conformity: interpersonal
6113	Humility
6114	Benevolence: caring
6115	Benevolence: dependability
6116	Universalism: concern
6117	Universalism: nature
6118	Universalism: tolerance
6119	Universalism: objectivity
6120	Self-direction: thought
6121	Self-direction: action
6122	Stimulation
6123	Hedonism
6124	Achievement
6125	Power: dominance
6126	Power: resources
6127	Face
6128	Security: personal
6129	Security: societal
6130	Tradition
6131	Conformity: rules
6132	Conformity: interpersonal
6133	Humility
6134	Benevolence: caring
6135	Benevolence: dependability
6136	Universalism: concern
6137	Universalism: nature
6138	Universalism: tolerance
6139	Universalism: objectivity
6140	Self-direction: thought
6141	Self-direction: action
6142	Stimulation
6143	Hedonism
6144	Achievement
6145	Power: dominance
6146	Power: resources
6147	Face
6148	Security: personal
6149	Security: societal
6150	Tradition
6151	Conformity: rules
6152	Conformity: interpersonal
6153	Humility
6154	Benevolence: caring
6155	Benevolence: dependability
6156	Universalism: concern
6157	Universalism: nature
6158	Universalism: tolerance
6159	Universalism: objectivity
6160	Self-direction: thought
6161	Self-direction: action
6162	Stimulation
6163	Hedonism
6164	Achievement
6165	Power: dominance
6166	Power: resources
6167	Face
6168	Security: personal
6169	Security: societal
6170	Tradition
6171	Conformity: rules
6172	Conformity: interpersonal
6173	Humility
6174	Benevolence: caring
6175	Benevolence: dependability
6176	Universalism: concern
6177	Universalism: nature
6178	Universalism: tolerance
6179	Universalism: objectivity
6180	Self-direction: thought
6181	Self-direction: action
6182	Stimulation
6183	Hedonism
6184	Achievement
6185	Power: dominance
6186	Power: resources
6187	Face
6188	Security: personal
6189	Security: societal
6190	Tradition
6191	Conformity: rules
6192	Conformity: interpersonal
6193	Humility
6194	Benevolence: caring
6195	Benevolence: dependability
6196	Universalism: concern
6197	Universalism: nature
6198	Universalism: tolerance
6199	Universalism: objectivity
6200	Self-direction: thought
6201	Self-direction: action
6202	Stimulation
6203	Hedonism
6204	Achievement
6205	Power: dominance
6206	Power: resources
6207	Face
6208	Security: personal
6209	Security: societal
6210	Tradition
6211	Conformity: rules
6212	Conformity: interpersonal
6213	Humility
6214	Benevolence: caring
6215	Benevolence: dependability
6216	Universalism: concern
6217	Universalism: nature
6218	Universalism: tolerance
6219	Universalism: objectivity
6220	Self-direction: thought
6221	Self-direction: action
6222	Stimulation
6223	Hedonism
6224	Achievement
6225	Power: dominance
6226	Power: resources
6227	Face
6228	Security: personal
6229	Security: societal
6230	Tradition
6231	Conformity: rules
6232	Conformity: interpersonal
6233	Humility
6234	Benevolence: caring
6235	Benevolence: dependability
6236	Universalism: concern
6237	Universalism: nature
6238	Universalism: tolerance
6239	Universalism: objectivity
6240	Self-direction: thought
6241	Self-direction: action
6242	Stimulation
6243	Hedonism
6244	Achievement
6245	Power: dominance
6246	Power: resources
6247	Face
6248	Security: personal
6249	Security: societal
6250	Tradition
6251	Conformity: rules
6252	Conformity: interpersonal
6253	Humility
6254	Benevolence: caring
6255	Benevolence: dependability
6256	Universalism: concern
6257	Universalism: nature
6258	Universalism: tolerance
6259	Universalism: objectivity
6260	Self-direction: thought
6261	Self-direction: action
6262	Stimulation
6263	Hedonism
6264	Achievement
6265	Power: dominance
6266	Power: resources
6267	Face
6268	Security: personal
6269	Security: societal
6270	Tradition
6271	Conformity: rules
6272	Conformity: interpersonal
6273	Humility
6274	Benevolence: caring
6275	Benevolence: dependability
6276	Universalism: concern
6277	Universalism: nature
6278	Universalism: tolerance
6279	Universalism: objectivity
6280	Self-direction: thought
6281	Self-direction: action
6282	Stimulation
6283	Hedonism
6284	Achievement
6285	Power: dominance
6286	Power: resources
6287	Face
6288	Security: personal
6289	Security: societal
6290	Tradition
6291	Conformity: rules
6292	Conformity: interpersonal
6293	Humility
6294	Benevolence: caring
6295	Benevolence: dependability
6296	Universalism: concern
6297	Universalism: nature
6298	Universalism: tolerance
6299	Universalism: objectivity
6300	Self-direction: thought
6301	Self-direction: action
6302	Stimulation
6303	Hedonism
6304	Achievement
6305	Power: dominance
6306	Power: resources
6307	Face
6308	Security: personal
6309	Security: societal
6310	Tradition
6311	Conformity: rules
6312	Conformity: interpersonal
6313	Humility
6314	Benevolence: caring
6315	Benevolence: dependability
6316	Universalism: concern
6317	Universalism: nature
6318	Universalism: tolerance
6319	Universalism: objectivity
6320	Self-direction: thought
6321	Self-direction: action
6322	Stimulation
6323	Hedonism
6324	Achievement
6325	Power: dominance
6326	Power: resources
6327	Face
6328	Security: personal
6329	Security: societal
6330	Tradition
6331	Conformity: rules
6332	Conformity: interpersonal
6333	Humility
6334	Benevolence: caring
6335	Benevolence: dependability
6336	Universalism: concern
6337	Universalism: nature
6338	Universalism: tolerance
6339	Universalism: objectivity
6340	Self-direction: thought
6341	Self-direction: action
6342	Stimulation
6343	Hedonism
6344	Achievement
6345	Power: dominance
6346	Power: resources
6347	Face
6348	Security: personal
6349	Security: societal
6350	Tradition
6351	Conformity: rules
6352	Conformity: interpersonal
6353	Humility
6354	Benevolence: caring
6355	Benevolence: dependability
6356	Universalism: concern
6357	Universalism: nature
6358	Universalism: tolerance
6359	Universalism: objectivity
6360	Self-direction: thought
6361	Self-direction: action
6362	Stimulation
6363	Hedonism
6364	Achievement
6365	Power: dominance
6366	Power: resources
6367	Face
6368	Security: personal
6369	Security: societal
6370	Tradition
6371	Conformity: rules
6372	Conformity: interpersonal
6373	Humility
6374	Benevolence: caring
6375	Benevolence: dependability
6376	Universalism: concern
6377	Universalism: nature
6378	Universalism: tolerance
6379	Universalism: objectivity
6380	Self-direction: thought
6381	Self-direction: action
6382	Stimulation
6383	Hedonism
6384	Achievement
6385	Power: dominance
6386	Power: resources
6387	Face
6388	Security: personal
6389	Security: societal
6390	Tradition
6391	Conformity: rules
6392	Conformity: interpersonal
6393	Humility
6394	Benevolence: caring
6395	Benevolence: dependability
6396	Universalism: concern
6397	Universalism: nature
